construction,p,q,condition_sa,condition_sb,truth_gc,truth_cs,status,error,gc,gaussian_te,gaussian_cmi,direct_cs,spectral_gc,spectral_cs,max_rho2,rank,abs_gc_spectral_error,abs_cs_spectral_error,abs_te_cmi_error,abs_gc_truth_error,abs_cs_truth_error,abs_spectral_gc_truth_error,abs_spectral_cs_truth_error
50,1,5,1.0,26300.27274930806,0.3176744093811707,0.08837174795357856,ok,,0.3176744093801913,0.15883720469009566,0.15883720469009566,0.08837174795390812,0.3176744093812013,0.08837174795358788,0.27216027237278567,1,1.009969885501505e-12,3.202438314531264e-13,0.0,9.793832411730818e-13,3.295558270721699e-13,3.058664432842306e-14,9.3119956190435e-15
51,2,4,1.0553609014433905,1093.7140346769813,0.9307181469374208,0.2740646216923089,ok,,0.9307181469374086,0.4653590734687043,0.4653590734687043,0.27406462169228174,0.9307181469374424,0.2740646216923157,0.4685321489932293,2,3.375077994860476e-14,3.397282455352979e-14,0.0,1.2212453270876722e-14,2.7144952952085077e-14,2.1538326677728037e-14,6.827871601444713e-15
52,3,4,193.65561595179184,12905721.988649055,0.08713001277151974,0.022210514287252743,ok,,0.08713001276057764,0.04356500638028882,0.04356500638028882,0.022210514279243476,0.08713001277165373,0.022210514287287313,0.06360324790814362,3,1.107609837180945e-11,8.043836430271512e-12,0.0,1.0942108330525002e-11,8.009266860842246e-12,1.3399004128444858e-13,3.456956942926581e-14
53,2,2,350289.3334791889,4124.022273279568,0.5233981431540864,0.1439874958643606,ok,,0.5233981431660757,0.26169907158303785,0.26169907158303785,0.14398749586538973,0.523398143160785,0.14398749586640539,0.2843782200249455,2,5.290656801548721e-12,1.0156597785027088e-12,0.0,1.1989298442927065e-11,1.0291212326762889e-12,6.6986416413783445e-12,2.0447810111789977e-12
54,4,1,69.50469081314418,1.0,0.0028080689089271353,0.0007027561234783521,ok,,0.0028080689089271527,0.0014040344544635763,0.0014040344544635763,0.0007027561234789204,0.002808068908927136,0.0007027561234783523,0.0028041299712272603,1,1.6479873021779667e-17,5.680135181651558e-16,0.0,1.734723475976807e-17,5.682303585996529e-16,8.673617379884035e-19,2.168404344971009e-19
55,2,2,543591.809477878,2.488286150814253,0.05742329610417593,0.014511570833096836,ok,,0.05742329610374575,0.028711648051872873,0.028711648051872873,0.014511570833013021,0.057423296104270924,0.01451157083312107,0.03143080331273268,2,5.251771240111225e-13,1.0804898642469141e-13,0.0,4.3018366646663253e-13,8.381489946529541e-14,9.499345754448996e-14,2.4234086959395995e-14
56,4,3,11.972749185851466,18.879514615628892,0.005858384381299302,0.0014664296326280407,ok,,0.005858384381299625,0.0029291921906498125,0.0029291921906498125,0.0014664296326278858,0.0058583843812993,0.00146642963262804,0.004072289129278566,3,3.2526065174565133e-16,1.5417354892743873e-16,0.0,3.226585665316861e-16,1.5482407023093003e-16,2.6020852139652106e-18,6.505213034913027e-19
57,1,2,1.0,1.0005190420603929,0.008025337463882705,0.002012364352080963,ok,,0.008025337463882563,0.0040126687319412815,0.0040126687319412815,0.0020123643520810752,0.008025337463882704,0.0020123643520809625,0.007993220417318899,1,1.4051260155412137e-16,1.1275702593849246e-16,0.0,1.4224732503009818e-16,1.1232334506949826e-16,1.734723475976807e-18,4.336808689942018e-19
58,4,3,3.484411132681425,64166203.54179671,1.4587829301923017,0.4710823536459777,ok,,1.4587829289285104,0.7293914644642552,0.7293914644642552,0.4710823537078781,1.45878293165798,0.4710823542294668,0.6792981065624972,3,2.729469539275442e-09,5.215887166620803e-10,0.0,1.2637912938373574e-09,6.190037371567314e-11,1.4656782454380846e-09,5.834890903777534e-10
59,4,1,154.75312062896901,1.0,0.3204636275042723,0.08922238871895131,ok,,0.3204636275042727,0.16023181375213635,0.16023181375213635,0.08922238871895116,0.3204636275042725,0.08922238871895137,0.27418754756112124,1,2.220446049250313e-16,2.0816681711721685e-16,0.0,3.885780586188048e-16,1.5265566588595902e-16,1.6653345369377348e-16,5.551115123125783e-17
