construction,designed_te,seed,orientation,eta,bandwidth,sample_gc,sample_gaussian_te,sample_canonical_cs,kde_cs
13,1.2214321724061692,1694665766,official-featurewise,0.02,0.8429739973648591,2.4605531116047232,1.2302765558023616,0.970659519660573,0.04483576729334082
13,1.2214321724061692,1694665766,official-featurewise,0.05,2.107434993412148,2.4605531116047232,1.2302765558023616,0.970659519660573,0.00545036010490918
13,1.2214321724061692,1694665766,official-featurewise,0.2,8.429739973648593,2.4605531116047232,1.2302765558023616,0.970659519660573,5.463774176206471e-06
13,1.2214321724061692,1694665766,samplewise,0.02,0.0871401111485727,2.4605531116047232,1.2302765558023616,0.970659519660573,0.15976552134736632
13,1.2214321724061692,1694665766,samplewise,0.05,0.21785027787143174,2.4605531116047232,1.2302765558023616,0.970659519660573,0.1861271815147436
13,1.2214321724061692,1694665766,samplewise,0.2,0.871401111485727,2.4605531116047232,1.2302765558023616,0.970659519660573,0.04239073129582849
14,0.9581129759446989,29369110,official-featurewise,0.02,0.6633821038457006,2.0634769056886952,1.0317384528443476,0.7855218778866672,0.05677208706956449
14,0.9581129759446989,29369110,official-featurewise,0.05,1.6584552596142517,2.0634769056886952,1.0317384528443476,0.7855218778866672,0.007670566315848504
14,0.9581129759446989,29369110,official-featurewise,0.2,6.633821038457007,2.0634769056886952,1.0317384528443476,0.7855218778866672,1.3670762680106918e-05
14,0.9581129759446989,29369110,samplewise,0.02,0.06441420101490933,2.0634769056886952,1.0317384528443476,0.7855218778866672,0.1867847620679539
14,0.9581129759446989,29369110,samplewise,0.05,0.1610355025372733,2.0634769056886952,1.0317384528443476,0.7855218778866672,0.19278570375822568
14,0.9581129759446989,29369110,samplewise,0.2,0.6441420101490932,2.0634769056886952,1.0317384528443476,0.7855218778866672,0.05952971970320853
15,0.5136832714109767,1551328740,official-featurewise,0.02,0.44047671116911524,0.9303082011799545,0.46515410058997725,0.30099621909368074,0.09861422835994205
15,0.5136832714109767,1551328740,official-featurewise,0.05,1.1011917779227882,0.9303082011799545,0.46515410058997725,0.30099621909368074,0.015943935383241126
15,0.5136832714109767,1551328740,official-featurewise,0.2,4.404767111691153,0.9303082011799545,0.46515410058997725,0.30099621909368074,2.2866077113548045e-05
15,0.5136832714109767,1551328740,samplewise,0.02,0.04194882956161948,0.9303082011799545,0.46515410058997725,0.30099621909368074,0.1581169584169615
15,0.5136832714109767,1551328740,samplewise,0.05,0.1048720739040487,0.9303082011799545,0.46515410058997725,0.30099621909368074,0.20012992708278343
15,0.5136832714109767,1551328740,samplewise,0.2,0.4194882956161948,0.9303082011799545,0.46515410058997725,0.30099621909368074,0.1038159255720803
16,1.4779613725923846,1030795440,official-featurewise,0.02,1.0633712374645325,3.0774790322712984,1.5387395161356492,1.266299118512618,0.02501994807742669
16,1.4779613725923846,1030795440,official-featurewise,0.05,2.658428093661332,3.0774790322712984,1.5387395161356492,1.266299118512618,0.0023911218591834427
16,1.4779613725923846,1030795440,official-featurewise,0.2,10.633712374645327,3.0774790322712984,1.5387395161356492,1.266299118512618,2.4600202905844526e-06
16,1.4779613725923846,1030795440,samplewise,0.02,0.11213094417895329,3.0774790322712984,1.5387395161356492,1.266299118512618,0.1699189260394096
16,1.4779613725923846,1030795440,samplewise,0.05,0.2803273604473832,3.0774790322712984,1.5387395161356492,1.266299118512618,0.1585164393427103
16,1.4779613725923846,1030795440,samplewise,0.2,1.1213094417895328,3.0774790322712984,1.5387395161356492,1.266299118512618,0.022591582166672453
17,0.8946111571193611,977595590,official-featurewise,0.02,0.6308910822514276,1.8871921692301363,0.9435960846150682,0.7051791711194314,0.06321486846571034
17,0.8946111571193611,977595590,official-featurewise,0.05,1.577227705628569,1.8871921692301363,0.9435960846150682,0.7051791711194314,0.011944830590838507
17,0.8946111571193611,977595590,official-featurewise,0.2,6.308910822514276,1.8871921692301363,0.9435960846150682,0.7051791711194314,1.8433351701929723e-05
17,0.8946111571193611,977595590,samplewise,0.02,0.06459796212958935,1.8871921692301363,0.9435960846150682,0.7051791711194314,0.17867668950908033
17,0.8946111571193611,977595590,samplewise,0.05,0.16149490532397337,1.8871921692301363,0.9435960846150682,0.7051791711194314,0.20230382159525995
17,0.8946111571193611,977595590,samplewise,0.2,0.6459796212958935,1.8871921692301363,0.9435960846150682,0.7051791711194314,0.061186511725283665
18,1.0571482929347722,1561301084,official-featurewise,0.02,0.7145475507333283,2.1422746106422696,1.0711373053211348,0.8218382645595546,0.05403771640449051
18,1.0571482929347722,1561301084,official-featurewise,0.05,1.786368876833321,2.1422746106422696,1.0711373053211348,0.8218382645595546,0.0067641238896847256
18,1.0571482929347722,1561301084,official-featurewise,0.2,7.145475507333284,2.1422746106422696,1.0711373053211348,0.8218382645595546,1.0148441628388127e-05
18,1.0571482929347722,1561301084,samplewise,0.02,0.07201826783938045,2.1422746106422696,1.0711373053211348,0.8218382645595546,0.18463608837465006
