construction,p,q,spectral_radius,condition_state_cov,status,error,gc,gaussian_te,gaussian_cmi,direct_cs,spectral_gc,spectral_cs,max_rho2,rank,abs_gc_spectral_error,abs_cs_spectral_error,abs_te_cmi_error
145,3,2,0.5448413152069086,11.599659321026378,ok,,0.5033324313863511,0.25166621569317554,0.25166621569317554,0.14210434154282137,0.503332431386351,0.14210434154282056,0.34609675638578674,2,1.1102230246251565e-16,8.049116928532385e-16,0.0
146,4,4,0.42480324981032525,9.064484212091676,ok,,0.6307990315830136,0.3153995157915068,0.3153995157915068,0.17475184261851684,0.6307990315830135,0.1747518426185153,0.33601766204839223,4,1.1102230246251565e-16,1.5265566588595902e-15,0.0
147,1,4,0.6977606071182779,9.097093246946065,ok,,0.044621553276519066,0.022310776638259533,0.022310776638259533,0.011340660445847472,0.04462155327651924,0.011340660445847271,0.04364065558370891,1,1.734723475976807e-16,2.0122792321330962e-16,0.0
148,2,2,0.2969545434166527,9.495914985290378,ok,,0.09839919075934112,0.04919959537967056,0.04919959537967056,0.025492476097197514,0.09839919075934123,0.02549247609719753,0.09370904854343717,2,1.1102230246251565e-16,1.734723475976807e-17,0.0
149,5,4,0.3053545089781666,17.118166258940025,ok,,0.053976093158561556,0.026988046579280778,0.026988046579280778,0.013608685656945063,0.05397609315856121,0.013608685656945297,0.03055887225320783,4,3.469446951953614e-16,2.3418766925686896e-16,0.0
150,1,4,0.48180430050912426,7.235273033010942,ok,,0.12222073154217514,0.06111036577108757,0.06111036577108757,0.03192689313379615,0.12222073154217504,0.03192689313379575,0.11504699010011019,1,9.71445146547012e-17,4.0245584642661925e-16,0.0
151,5,2,0.46094975812565536,8.850971991060222,ok,,0.7365309808244578,0.3682654904122289,0.3682654904122289,0.2171440698602689,0.7365309808244582,0.21714406986026838,0.45857634399959185,2,4.440892098500626e-16,5.273559366969494e-16,0.0
152,4,3,0.4148896542926691,11.998123038681586,ok,,0.19185475399511914,0.09592737699755957,0.09592737699755957,0.049857492732808595,0.19185475399511898,0.04985749273280887,0.12244642838704548,3,1.6653345369377348e-16,2.7755575615628914e-16,0.0
153,3,3,0.439118491241693,17.369824213623158,ok,,0.3167157680993695,0.15835788404968476,0.15835788404968476,0.08438383130993277,0.3167157680993696,0.08438383130993253,0.20550035141112868,3,5.551115123125783e-17,2.3592239273284576e-16,0.0
154,4,2,0.6756115768308865,21.53814288636204,ok,,1.2438192366682133,0.6219096183341066,0.6219096183341066,0.3962836124559752,1.2438192366682144,0.3962836124559742,0.6393555200639627,2,1.1102230246251565e-15,9.992007221626409e-16,0.0
155,3,3,0.7304987482724883,18.136919746816687,ok,,0.8009206138434896,0.4004603069217448,0.4004603069217448,0.22935806690066673,0.8009206138434896,0.22935806690066715,0.42119094979839256,3,0.0,4.163336342344337e-16,0.0
156,3,3,0.48965156799043563,10.862696022089825,ok,,0.20161079258070058,0.10080539629035029,0.10080539629035029,0.05314913879093908,0.20161079258070036,0.05314913879093857,0.15737780949027225,3,2.220446049250313e-16,5.065392549852277e-16,0.0
157,1,2,0.24221629729879673,2.9471377581317144,ok,,0.06903185396383282,0.03451592698191641,0.03451592698191641,0.017699558723788034,0.06903185396383284,0.017699558723787773,0.06670304960260287,1,1.3877787807814457e-17,2.6020852139652106e-16,0.0
