edge_id,source,target,gc,gaussian_te_cmi,canonical_cs,component_te_1,component_te_2,spectrum_spread_h,rank_one_gap_q,normalized_gap_qn,abs_gc_spectrum_error
000001.SS+399001.SZ->^STI+^STOXX50E,000001.SS;399001.SZ,^STI;^STOXX50E,0.007600195267038146,0.003800097633519073,0.0019051440942622257,0.0036866301537640425,0.0001134674797563399,0.11587012125493086,3.1313799475260994e-07,0.11587010607027072,2.6194324487249787e-15
000001.SS+IMOEX.ME->399001.SZ+^AXJO,000001.SS;IMOEX.ME,399001.SZ;^AXJO,0.02183927967792698,0.01091963983896349,0.005502638451929489,0.010702560874413696,0.00021707896455083444,0.0779379199182581,1.7329453379328827e-06,0.07793783504555142,2.078198724220215e-15
000001.SS+IMOEX.ME->399001.SZ+^DJI,000001.SS;IMOEX.ME,399001.SZ;^DJI,0.005063449837560796,0.002531724918780398,0.0012682619420220915,0.0025306170923788352,1.107826401146222e-06,0.0017495449569399249,2.0999505159942367e-09,0.0017495447846245374,8.335346302068558e-16
000001.SS+IMOEX.ME->399001.SZ+^GSPC,000001.SS;IMOEX.ME,399001.SZ;^GSPC,0.003614712445273227,0.0018073562226366136,0.0009048707080268545,0.0017837013284456881,2.3654894191023314e-05,0.051667282447341666,3.1616344278511885e-08,0.05166728080104471,1.95590071916385e-16
000001.SS+IMOEX.ME->399001.SZ+^HSI,000001.SS;IMOEX.ME,399001.SZ;^HSI,0.016593901960710866,0.008296950980355433,0.004166923378072325,0.006876488023145361,0.0014204629572078379,0.5675701497160524,7.295417988650681e-06,0.567569980303344,4.468647674116255e-15
000001.SS+IMOEX.ME->399001.SZ+^IXIC,000001.SS;IMOEX.ME,399001.SZ;^IXIC,0.005144667742246867,0.0025723338711234334,0.001287902783806471,0.002099677680424359,0.0004726561907002853,0.599933758994757,7.433615444442203e-07,0.5999337426898198,2.4216739724636227e-15
000001.SS+IMOEX.ME->399001.SZ+^KS11,000001.SS;IMOEX.ME,399001.SZ;^KS11,0.019890697315624095,0.009945348657812048,0.00500890190659956,0.009844548015208805,0.00010080064260349506,0.040130913684403885,7.405456956700168e-07,0.04013087576923127,5.030698080332741e-16
000001.SS+IMOEX.ME->399001.SZ+^N100,000001.SS;IMOEX.ME,399001.SZ;^N100,0.0048041125661661965,0.0024020562830830983,0.0012031594596770714,0.0023848990681152706,1.715721496841202e-05,0.028366805406432702,3.065179691205504e-08,0.02836680375786856,1.1683362610703796e-15
000001.SS+IMOEX.ME->399001.SZ+^N225,000001.SS;IMOEX.ME,399001.SZ;^N225,0.03827457380082322,0.01913728690041161,0.009704608374387488,0.019102375233942065,3.4911666469159264e-05,0.0072837865020272344,4.953713231541784e-07,0.007283761296760287,7.7021722333370235e-16
000001.SS+IMOEX.ME->399001.SZ+^NZ50,000001.SS;IMOEX.ME,399001.SZ;^NZ50,0.032285947686126804,0.016142973843063402,0.008159406714943723,0.015329522937322922,0.0008134509057405824,0.19140482959358712,9.27668281353218e-06,0.19140444002306714,2.0816681711721685e-16
000001.SS+IMOEX.ME->399001.SZ+^STI,000001.SS;IMOEX.ME,399001.SZ;^STI,0.02712413478663578,0.01356206739331789,0.0068310809075834734,0.011362936411708598,0.0021991309816085983,0.5434378311213383,1.8614093441454357e-05,0.543437384795004,1.384309333829492e-15
000001.SS+IMOEX.ME->399001.SZ+^STOXX50E,000001.SS;IMOEX.ME,399001.SZ;^STOXX50E,0.00588968753278607,0.002944843766393035,0.0014756695361791074,0.002944302761254736,5.41005136661379e-07,0.0007347157133858541,1.192902311436192e-09,0.000734715664448301,3.2751579226442118e-15
000001.SS+IMOEX.ME->^AXJO+^DJI,000001.SS;IMOEX.ME,^AXJO;^DJI,0.028930972215960082,0.014465486107980041,0.007310211233302993,0.014407535825076995,5.795028290333809e-05,0.015960231809016855,6.21651001427373e-07,0.015960199803621195,5.828670879282072e-16
000001.SS+IMOEX.ME->^AXJO+^GSPC,000001.SS;IMOEX.ME,^AXJO;^GSPC,0.032382359189433885,0.016191179594716942,0.00819314453581018,0.01617276816653791,1.8411428179800332e-05,0.004543335941480491,2.2151021018997075e-07,0.004543324492365652,1.5334955527634975e-15
000001.SS+IMOEX.ME->^AXJO+^HSI,000001.SS;IMOEX.ME,^AXJO;^HSI,0.030200080312436484,0.015100040156218242,0.00763286392861684,0.014899025333852069,0.00020101482236654832,0.05253995880640241,2.2291940750315126e-06,0.052539848619822124,7.494005416219807e-16
000001.SS+IMOEX.ME->^AXJO+^IXIC,000001.SS;IMOEX.ME,^AXJO;^IXIC,0.03504614094831382,0.01752307047415691,0.008871149344504767,0.01714180285647684,0.0003812676176796136,0.08513849972923314,4.85864550407375e-06,0.08513827026868792,9.159339953157541e-16
000001.SS+IMOEX.ME->^AXJO+^KS11,000001.SS;IMOEX.ME,^AXJO;^KS11,0.028683461253891096,0.014341730626945548,0.007242252250936596,0.013819315537348588,0.0005224150895974123,0.140397416104797,5.375649132311443e-06,0.1403971742338654,9.055256544598933e-16
000001.SS+IMOEX.ME->^AXJO+^N100,000001.SS;IMOEX.ME,^AXJO;^N100,0.03962457143668274,0.01981228571834137,0.010052231135158084,0.019803118287982556,9.167430359901008e-06,0.0018500012745456683,1.3480474899199568e-07,0.001849994398087926,2.1718737919229625e-15
000001.SS+IMOEX.ME->^AXJO+^N225,000001.SS;IMOEX.ME,^AXJO;^N225,0.041320075750476803,0.020660037875238402,0.01046013023139608,0.018566709711862556,0.002093328163377721,0.3642252317979028,2.8847604474750016e-05,0.3642242980816032,3.747002708109903e-15
000001.SS+IMOEX.ME->^AXJO+^NZ50,000001.SS;IMOEX.ME,^AXJO;^NZ50,0.03573497639320067,0.017867488196600334,0.009032364964402611,0.016171823498021428,0.0016956646985771785,0.343583227633079,2.0382255470140914e-05,0.34358253800872285,3.4555691641457997e-15
000001.SS+IMOEX.ME->^AXJO+^STI,000001.SS;IMOEX.ME,^AXJO;^STI,0.03574874158963226,0.01787437079481613,0.00902587563914274,0.015179593198873501,0.0026947775959417545,0.5121315441122799,3.0404302026838803e-05,0.5121307795692598,1.7486012637846216e-15
000001.SS+IMOEX.ME->^AXJO+^STOXX50E,000001.SS;IMOEX.ME,^AXJO;^STOXX50E,0.04293561074160124,0.02146780537080062,0.010905437105981821,0.02146462307556381,3.1822952369055465e-06,0.0005928549196666983,5.0678314813742964e-08,0.0005928523507233028,1.942890293094024e-16
