repetition,status,standardized_slope,directional_accuracy,predicted_reversal_fraction,reversal_risk_difference,temporal_predicted_sign_retention,temporal_both_signs_retention
124,ok,0.9999999999594067,0.5631678762901637,0.11261344693461753,0.11261344693461753,0.5203969501783571,0.0001926040061633282
125,ok,0.9999999999750375,0.5363392203141532,0.07033289817232376,0.07033289817232376,0.5208026914168822,0.0003852080123266564
126,ok,0.9999999998321601,0.6648136909819152,0.32899212751482165,0.32899212751482165,0.5249108214569491,0.0007704160246533128
127,ok,0.9999999999762383,0.5545949111532357,0.10245341614906832,0.10245341614906832,0.512146878328346,0.0
128,ok,0.9999999999687119,0.574999549768581,0.14552103700485192,0.14552103700485192,0.49853764095281566,0.0001926040061633282
129,ok,0.9999999999704918,0.5326326255237555,0.0654112701658714,0.0654112701658714,0.522865209379385,0.0007704160246533128
130,ok,0.9999999999669424,0.5787742000200622,0.15393294648613798,0.15393294648613798,0.5276833865868709,0.0
131,ok,0.9999999999653781,0.5722779998050492,0.13740908197365834,0.13740908197365834,0.5163226319081672,0.0005778120184899846
132,ok,0.9999999999144396,0.5300950697126197,0.05932940080720273,0.05932940080720273,0.5566769792564792,0.0005778120184899846
133,ok,0.9999999999658618,0.555784115473119,0.11655803633337956,0.11655803633337956,0.5282243749049044,0.0
134,ok,0.9999999999772923,0.537509855054885,0.07480649309683837,0.07480649309683837,0.5030007945765921,0.0001926040061633282
135,ok,0.9999999999864477,0.5308546536597337,0.056604239149209166,0.056604239149209166,0.5180808439417761,0.0001926040061633282
136,ok,0.9999999999781987,0.5443724551966,0.0872529173612765,0.0872529173612765,0.498114993829352,0.0005778120184899846
137,ok,0.9999999999852054,0.5394298262813223,0.07628784899724735,0.07628784899724735,0.5366942232591165,0.0001926040061633282
138,ok,0.9999999999650497,0.5687203791469194,0.13638651233014595,0.13638651233014595,0.4992476881202347,0.0
139,ok,0.9999999999883195,0.5439348615487979,0.08861326002173774,0.08861326002173774,0.4978614055552738,0.0001926040061633282
140,ok,0.9999999999776293,0.5750910594569865,0.14620089806597603,0.14620089806597603,0.49461547564707276,0.0
141,ok,0.9999999999773492,0.5609870573175935,0.12409194097616345,0.12409194097616345,0.5281398454802116,0.0001926040061633282
