repetition,gc_low_edge,gc_high_edge,cs_low_edge,cs_high_edge,gc_order_retained,cs_reverse_retained,both_retained
143,0.14300884697845362,0.12987042135988247,0.03760727187115756,0.03395122047595605,0,1,0
144,0.29003577086240284,0.23413688786786935,0.07918314796076596,0.06344443853342588,0,1,0
145,0.30139684201072114,0.1902872116811949,0.08343035695923427,0.05079262492490278,0,1,0
146,0.32448745241517685,0.20485290205822082,0.08966547380189349,0.05489281996500368,0,1,0
147,0.3245628954496844,0.1823446468197254,0.09042618153718625,0.048606786423427445,0,1,0
148,0.2891898457394788,0.1460396520216669,0.0797170048345606,0.03843567684958278,0,1,0
149,0.24099172908688615,0.13686860214287577,0.06540216593449227,0.035933003262532556,0,1,0
150,0.2955907636833395,0.18020150094590548,0.08157978581516506,0.04785067206692517,0,1,0
151,0.20805354912821272,0.12041417711424884,0.05587542135682366,0.03142812886823658,0,1,0
152,0.2985092964779703,0.22051497687921184,0.08254562643965026,0.059516806075983926,0,1,0
153,0.2977646108274108,0.26689143356125555,0.08211553235985544,0.07301069623922857,0,1,0
154,0.3831949319717616,0.21852353046505257,0.10824787984861327,0.0587716527575776,0,1,0
155,0.33547333885208985,0.18081140446454214,0.09374329174240777,0.048169519395424465,0,1,0
156,0.3149259332889187,0.27531043256757926,0.08718777027232137,0.07560133439801706,0,1,0
157,0.364422855543971,0.19573380192029788,0.10278779511909503,0.05233607500020993,0,1,0
158,0.3244223598976461,0.14165866946174432,0.09037395642124765,0.03719767399702336,0,1,0
159,0.2906909835753666,0.21795199016179723,0.08013858331347119,0.058776568386824074,0,1,0
160,0.2807747486614538,0.1911857551979672,0.07722769295493029,0.05109998115480119,0,1,0
161,0.47380175955240844,0.24308007921375108,0.13780593251895099,0.06607522355707297,0,1,0
162,0.3051872680638681,0.1919273613000314,0.08410556142207481,0.05132285845006085,0,1,0
163,0.3005505521766807,0.15997154133637181,0.08295777775432436,0.0423223645114392,0,1,0
164,0.2892810939795325,0.14499649264402592,0.07978139463340672,0.03814606160877656,0,1,0
165,0.21342791119109705,0.20509605413876386,0.057455183306824614,0.05507485125026376,0,1,0
166,0.30932767911827597,0.18015956921489362,0.0856826968702233,0.04783459625926912,0,1,0
167,0.2620165387223601,0.1557668605730882,0.07112744146881926,0.0411204630860686,0,1,0
168,0.3201295263510602,0.10515015815881057,0.08873611166316861,0.02729233067686478,0,1,0
169,0.19936805360500642,0.12553660620798013,0.05339092256443529,0.03260069387221107,0,1,0
170,0.31279365102958323,0.20827771749253898,0.08687356918742047,0.05597869962571034,0,1,0
171,0.4192854935289887,0.2508598016585708,0.119965811508563,0.06836503375228906,0,1,0
172,0.2820890390392421,0.1569892382560738,0.0775725550509357,0.041489020766922256,0,1,0
173,0.30426990928111053,0.20379014942747986,0.08429794410326104,0.054699424093338805,0,1,0
174,0.2709904773048848,0.21155135576677253,0.07364852622848114,0.056926858971673586,0,1,0
175,0.17455936423708351,0.1312736428740564,0.0463777795029923,0.03439427641533627,0,1,0
176,0.4630459380159273,0.3543909438246473,0.13422429960640497,0.09966525137775384,0,1,0
177,0.3061315266669915,0.22663456159913054,0.084706916587668,0.061289949922371224,0,1,0
178,0.34408135242073,0.18601839202361958,0.09593573719937665,0.04955573950083309,0,1,0
179,0.18712887170278591,0.10166783870961282,0.049651544526222974,0.02636942587260592,0,1,0
180,0.3127371072438976,0.14363855674354298,0.08685459745024375,0.03778734222995777,0,1,0
181,0.3071710305806974,0.17502507600426753,0.08516277332631635,0.0465418105859493,0,1,0
182,0.2658685626027264,0.14611102584395752,0.07279539327089361,0.038331807891853434,0,1,0
183,0.21204881990205138,0.16557811700184288,0.05705393498454691,0.04365713595049971,0,1,0
184,0.32389670028263495,0.22100990228136652,0.08981466259608566,0.05956682155341616,0,1,0
185,0.3282017428965389,0.1820419357323857,0.09133310304076447,0.04850859001047588,0,1,0
186,0.5097031409567734,0.2862380462128442,0.1495021459788599,0.0788139083233491,0,1,0
187,0.3282877046784023,0.2182444434617956,0.09150991549902554,0.058851072947653384,0,1,0
188,0.3497956209567832,0.19145610956076808,0.09785034101906095,0.05114867990321349,0,1,0
189,0.2030619107854612,0.20787391554168977,0.054407516188711424,0.05586753259535759,1,0,0
