split,edge_id,source,target,gc,gaussian_te,gaussian_cmi,canonical_cs,gc_canonical_error,scalar_mapped_cs,abs_scalar_map_error
confirmation,399001.SZ->IMOEX.ME,399001.SZ,IMOEX.ME,5.010478089317871e-05,2.5052390446589357e-05,2.5052390446589357e-05,1.252643057991508e-05,-9.42679907658256e-16,1.2526430579657114e-05,2.579655781521917e-16
confirmation,399001.SZ->^AXJO,399001.SZ,^AXJO,0.005783312004787433,0.0028916560023937166,0.0028916560023937166,0.0014489606056380196,1.9853910182554557e-15,0.0014489606056385228,5.032866484677712e-16
confirmation,399001.SZ->^DJI,399001.SZ,^DJI,0.00016665774351487528,8.332887175743764e-05,8.332887175743764e-05,4.166703969448615e-05,-1.0750135590736898e-15,4.1667039694273434e-05,2.1271368997807794e-16
confirmation,399001.SZ->^GSPC,399001.SZ,^GSPC,0.00028529483913963816,0.00014264741956981908,0.00014264741956981908,7.133134002902043e-05,1.6798086359404163e-15,7.133134002939525e-05,3.7482224355539495e-16
confirmation,399001.SZ->^HSI,399001.SZ,^HSI,0.0026889154946445615,0.0013444577473222807,0.0013444577473222807,0.0006729064073232782,8.096821824121747e-16,0.0006729064073234473,1.691355389077387e-16
confirmation,399001.SZ->^IXIC,399001.SZ,^IXIC,0.0005531381401926438,0.0002765690700963219,0.0002765690700963219,0.00013831321632236387,1.176901458233015e-15,0.00013831321632267382,3.099462960592936e-16
confirmation,399001.SZ->^KS11,399001.SZ,^KS11,0.000155334310210975,7.76671551054875e-05,7.76671551054875e-05,3.883583956455929e-05,-1.0424603888448125e-15,3.883583956424679e-05,3.1250094742821255e-16
confirmation,399001.SZ->^N100,399001.SZ,^N100,0.0014055761397635536,0.0007027880698817768,0.0007027880698817768,0.00035157920819939634,9.085614205428527e-17,0.00035157920819944524,4.889751797909625e-17
confirmation,399001.SZ->^N225,399001.SZ,^N225,0.0009454450022889915,0.00047272250114449577,0.00047272250114449577,0.0002364450373279879,-2.817841446289826e-16,0.0002364450373279525,3.539920093165172e-17
confirmation,399001.SZ->^NZ50,399001.SZ,^NZ50,5.781224273349039e-05,2.8906121366745197e-05,2.8906121366745197e-05,1.4453374016760334e-05,1.512529793253059e-16,1.445337401673831e-05,2.2024550694506317e-17
confirmation,399001.SZ->^STI,399001.SZ,^STI,0.0006712405468309868,0.0003356202734154934,0.0003356202734154934,0.00016785237234500522,-2.3136874360840665e-16,0.00016785237234497724,2.7972416050126014e-17
confirmation,399001.SZ->^STOXX50E,399001.SZ,^STOXX50E,1.3760753365232858e-05,6.880376682616429e-06,6.880376682616429e-06,3.4402060933567073e-06,1.0181048034794624e-15,3.440206093661e-06,3.0429277465284475e-16
confirmation,IMOEX.ME->000001.SS,IMOEX.ME,000001.SS,0.008786389727726274,0.004393194863863137,0.004393194863863137,0.002203824387908382,-4.2847669856627135e-16,0.0022038243879082455,1.3660947373317356e-16
confirmation,IMOEX.ME->399001.SZ,IMOEX.ME,399001.SZ,0.006226077977686373,0.0031130389888431864,0.0031130389888431864,0.001560149851305954,-2.697495005143935e-16,0.0015601498513058702,8.370040771588094e-17
confirmation,IMOEX.ME->^AXJO,IMOEX.ME,^AXJO,0.012396695205717734,0.006198347602858867,0.006198347602858867,0.003113551328841751,-2.3071822230491534e-16,0.0031135513288416783,7.28583859910259e-17
confirmation,IMOEX.ME->^DJI,IMOEX.ME,^DJI,0.00012464780263954367,6.232390131977184e-05,6.232390131977184e-05,3.116340723062052e-05,-9.670812328027578e-16,3.1163407230361635e-05,2.5888714999880436e-16
confirmation,IMOEX.ME->^GSPC,IMOEX.ME,^GSPC,1.2339045007081495e-05,6.1695225035407475e-06,6.1695225035407475e-06,3.084775525241165e-06,5.112978860829023e-16,3.0847755253863946e-06,1.4522972803738057e-16
confirmation,IMOEX.ME->^HSI,IMOEX.ME,^HSI,0.01144041618867142,0.00572020809433571,0.00572020809433571,0.0028723509271617108,1.8561541192951836e-16,0.002872350927161801,9.020562075079397e-17
confirmation,IMOEX.ME->^IXIC,IMOEX.ME,^IXIC,0.0006412458302431645,0.00032062291512158225,0.00032062291512158225,0.0001603500030856334,6.560507345709787e-16,0.00016035000308585164,2.1824989732133204e-16
confirmation,IMOEX.ME->^KS11,IMOEX.ME,^KS11,0.013366461458600654,0.006683230729300327,0.006683230729300327,0.0033583276099708754,-3.157196726277789e-16,0.003358327609970805,7.025630077706069e-17
confirmation,IMOEX.ME->^N100,IMOEX.ME,^N100,5.8115843120987165e-05,2.9057921560493583e-05,2.9057921560493583e-05,1.4529277412841396e-05,1.5618745446283056e-15,1.4529277413192831e-05,3.514356638817037e-16
confirmation,IMOEX.ME->^N225,IMOEX.ME,^N225,0.026389590961519716,0.013194795480759858,0.013194795480759858,0.006662398608568217,-3.226585665316861e-16,0.006662398608568182,3.469446951953614e-17
confirmation,IMOEX.ME->^NZ50,IMOEX.ME,^NZ50,0.026960152459073683,0.013480076229536841,0.013480076229536841,0.006807873596172768,2.949029909160572e-16,0.0068078735961727855,1.734723475976807e-17
confirmation,IMOEX.ME->^STI,IMOEX.ME,^STI,0.022368100245447664,0.011184050122723832,0.011184050122723832,0.00563875607199638,4.822531263215524e-16,0.005638756071996471,9.107298248878237e-17
confirmation,IMOEX.ME->^STOXX50E,IMOEX.ME,^STOXX50E,7.085194324574218e-06,3.542597162287109e-06,3.542597162287109e-06,1.7713032876204386e-06,-9.377798220583898e-16,1.7713032873840202e-06,2.3641833052346316e-16
confirmation,^AXJO->000001.SS,^AXJO,000001.SS,0.0036494521848293715,0.0018247260924146858,0.0018247260924146858,0.0009136108960706168,-2.0469737016526324e-15,0.0009136108960700941,5.226938673552617e-16
confirmation,^AXJO->399001.SZ,^AXJO,399001.SZ,0.0036868647458447867,0.0018434323729223934,0.0018434323729223934,0.0009229897443203547,-9.146329527087715e-16,0.0009229897443201014,2.533780477098624e-16
confirmation,^AXJO->IMOEX.ME,^AXJO,IMOEX.ME,0.00019537234192767983,9.768617096383991e-05,9.768617096383991e-05,4.884666383604736e-05,-6.082916288729923e-16,4.884666383588271e-05,1.6464965241907992e-16
confirmation,^AXJO->^DJI,^AXJO,^DJI,6.4204475673790284e-06,3.2102237836895142e-06,3.2102237836895142e-06,1.6051157563165933e-06,4.012242605213115e-16,1.6051157564266586e-06,1.1006536699035511e-16
confirmation,^AXJO->^GSPC,^AXJO,^GSPC,3.3283261975824985e-05,1.6641630987912492e-05,1.6641630987912492e-05,8.320919347195531e-06,5.61352451067948e-16,8.320919347277456e-06,8.192502665843593e-17
confirmation,^AXJO->^HSI,^AXJO,^HSI,0.0023069908014079488,0.0011534954007039744,0.0011534954007039744,0.0005772464653409651,2.645453300864631e-16,0.0005772464653409914,2.6346112791397758e-17
confirmation,^AXJO->^IXIC,^AXJO,^IXIC,0.00011316235522507156,5.658117761253578e-05,5.658117761253578e-05,2.829178931965012e-05,3.9010949418744056e-16,2.8291789319793995e-05,1.4387362828882644e-16
confirmation,^AXJO->^KS11,^AXJO,^KS11,0.00857239922997799,0.004286199614988995,0.004286199614988995,0.0021499792744501325,-5.082739784612045e-16,0.0021499792744500736,5.898059818321144e-17
confirmation,^AXJO->^N100,^AXJO,^N100,3.1964554505492515e-05,1.5982277252746258e-05,1.5982277252746258e-05,7.991234413329297e-06,-8.660064852727967e-17,7.991234413247116e-06,8.218083060850673e-17
confirmation,^AXJO->^N225,^AXJO,^N225,0.0023690903484023806,0.0011845451742011903,0.0011845451742011903,0.0005927985595346385,-1.1709383462843448e-17,0.000592798559534671,3.252606517456513e-17
confirmation,^AXJO->^NZ50,^AXJO,^NZ50,0.018469317380752415,0.009234658690376207,0.009234658690376207,0.0046492103888563265,7.112366251504909e-16,0.004649210388856452,1.2576745200831851e-16
confirmation,^AXJO->^STI,^AXJO,^STI,0.0031780661655531617,0.0015890330827765808,0.0015890330827765808,0.0007954629245468325,8.144526719711109e-16,0.0007954629245470068,1.7433970933566911e-16
confirmation,^AXJO->^STOXX50E,^AXJO,^STOXX50E,1.1973138200005451e-05,5.9865691000027255e-06,5.9865691000027255e-06,2.993297989600503e-06,1.0545560193316039e-17,2.993297989613569e-06,1.306590672787121e-17
confirmation,^DJI->000001.SS,^DJI,000001.SS,0.06296781780848626,0.03148390890424313,0.03148390890424313,0.016109752754639835,-1.0269562977782698e-15,0.016109752754639613,2.220446049250313e-16
confirmation,^DJI->399001.SZ,^DJI,399001.SZ,0.04892850756152001,0.024464253780760004,0.024464253780760004,0.012454728727127587,-8.604228440844963e-16,0.012454728727127391,1.960237527853792e-16
confirmation,^DJI->IMOEX.ME,^DJI,IMOEX.ME,0.033197236948501185,0.016598618474250593,0.016598618474250593,0.008402054246760871,0.0,0.00840205424676085,2.0816681711721685e-17
confirmation,^DJI->^AXJO,^DJI,^AXJO,0.251437779343485,0.1257188896717425,0.1257188896717425,0.0685350812685884,8.326672684688674e-16,0.0685350812685887,3.0531133177191805e-16
confirmation,^DJI->^GSPC,^DJI,^GSPC,0.001808604811563086,0.000904302405781543,0.000904302405781543,0.00045245777150713863,2.009460306484634e-15,0.0004524577715076786,5.399868920064055e-16
confirmation,^DJI->^HSI,^DJI,^HSI,0.09289530942984925,0.046447654714924624,0.046447654714924624,0.02402025487265078,-1.096345236817342e-15,0.024020254872650505,2.740863092043355e-16
