experiment_kind,model,dimension,component_te_spec,sample_size,seed,source_scale,eta,bandwidth_orientation,median,sigma,kde_cs,theory_te,theory_gc,theory_cs,theory_rho2,sample_gc,sample_te,sample_canonical_cs,sample_rho2,gc_vs_canonical_error
main,equal_gc_spread,2,0.5;0.5,1024,101,1.0,0.05,samplewise,3.3395856587540793,0.16697928293770398,0.21964757967778947,1.0,2.0,0.6559778784857395,"[0.6321205588285577, 0.6321205588285577]",2.0067224068813876,1.0033612034406938,0.659357892928669,0.664246659513;0.599621092933,3.9968028886505635e-15
main,equal_gc_spread,2,0.5;0.5,1024,101,1.0,0.2,official-featurewise,44.464626298069206,8.892925259613842,3.233439365146751e-07,1.0,2.0,0.6559778784857395,"[0.6321205588285577, 0.6321205588285577]",2.0067224068813876,1.0033612034406938,0.659357892928669,0.664246659513;0.599621092933,3.9968028886505635e-15
main,equal_gc_spread,2,0.5;0.5,1024,101,1.0,0.2,samplewise,3.3395856587540793,0.6679171317508159,0.1246503921439377,1.0,2.0,0.6559778784857395,"[0.6321205588285577, 0.6321205588285577]",2.0067224068813876,1.0033612034406938,0.659357892928669,0.664246659513;0.599621092933,3.9968028886505635e-15
main,larger_gc_spread,2,0.55;0.55,256,11,1.0,0.02,official-featurewise,22.778852872228526,0.45557705744457055,0.19279063515509787,1.1,2.2,0.7350795173984352,"[0.6671289163019205, 0.6671289163019205]",2.109152086606775,1.0545760433033875,0.7008879772308456,0.698788575968;0.597157346493,1.7763568394002505e-15
main,larger_gc_spread,2,0.55;0.55,256,11,1.0,0.02,samplewise,3.4314947802295386,0.06862989560459078,0.07643147953055163,1.1,2.2,0.7350795173984352,"[0.6671289163019205, 0.6671289163019205]",2.109152086606775,1.0545760433033875,0.7008879772308456,0.698788575968;0.597157346493,1.7763568394002505e-15
main,larger_gc_spread,2,0.55;0.55,256,11,1.0,0.05,official-featurewise,22.778852872228526,1.1389426436114263,0.03681887454732724,1.1,2.2,0.7350795173984352,"[0.6671289163019205, 0.6671289163019205]",2.109152086606775,1.0545760433033875,0.7008879772308456,0.698788575968;0.597157346493,1.7763568394002505e-15
main,larger_gc_spread,2,0.55;0.55,256,11,1.0,0.05,samplewise,3.4314947802295386,0.17157473901147693,0.2604154344613274,1.1,2.2,0.7350795173984352,"[0.6671289163019205, 0.6671289163019205]",2.109152086606775,1.0545760433033875,0.7008879772308456,0.698788575968;0.597157346493,1.7763568394002505e-15
main,larger_gc_spread,2,0.55;0.55,256,11,1.0,0.2,official-featurewise,22.778852872228526,4.555770574445705,4.449451062527032e-05,1.1,2.2,0.7350795173984352,"[0.6671289163019205, 0.6671289163019205]",2.109152086606775,1.0545760433033875,0.7008879772308456,0.698788575968;0.597157346493,1.7763568394002505e-15
main,larger_gc_spread,2,0.55;0.55,256,11,1.0,0.2,samplewise,3.4314947802295386,0.6862989560459077,0.15364862983965644,1.1,2.2,0.7350795173984352,"[0.6671289163019205, 0.6671289163019205]",2.109152086606775,1.0545760433033875,0.7008879772308456,0.698788575968;0.597157346493,1.7763568394002505e-15
main,larger_gc_spread,2,0.55;0.55,256,29,1.0,0.02,official-featurewise,22.452870985573306,0.4490574197114661,0.2261277671098938,1.1,2.2,0.7350795173984352,"[0.6671289163019205, 0.6671289163019205]",2.279995093527268,1.139997546763634,0.7685702186749191,0.717490610513;0.637942268902,-1.7763568394002505e-15
