experiment_kind,model,dimension,component_te_spec,sample_size,source_scale,eta,bandwidth_orientation,replicates,sample_gc_mean,sample_gc_sd,sample_te_mean,sample_te_sd,sample_canonical_cs_mean,sample_canonical_cs_sd,kde_cs_mean,kde_cs_sd,theory_gc,theory_te,theory_cs,max_abs_gc_canonical_error
main,equal_gc_spread,2,0.5;0.5,256,1.0,0.02,official-featurewise,5,1.983641318841601,0.0990292928171977,0.9918206594208006,0.04951464640859885,0.6506154502223255,0.038609479733574585,0.19232249363484827,0.020529803139673227,2.0,1.0,0.6559778784857395,3.774758283725532e-15
main,equal_gc_spread,2,0.5;0.5,256,1.0,0.02,samplewise,5,1.983641318841601,0.0990292928171977,0.9918206594208006,0.04951464640859885,0.6506154502223255,0.038609479733574585,0.09321117330947519,0.01995169990767712,2.0,1.0,0.6559778784857395,3.774758283725532e-15
main,equal_gc_spread,2,0.5;0.5,256,1.0,0.05,official-featurewise,5,1.983641318841601,0.0990292928171977,0.9918206594208006,0.04951464640859885,0.6506154502223255,0.038609479733574585,0.03802436533325846,0.0031035627400342624,2.0,1.0,0.6559778784857395,3.774758283725532e-15
main,equal_gc_spread,2,0.5;0.5,256,1.0,0.05,samplewise,5,1.983641318841601,0.0990292928171977,0.9918206594208006,0.04951464640859885,0.6506154502223255,0.038609479733574585,0.218594987457508,0.03200907480284207,2.0,1.0,0.6559778784857395,3.774758283725532e-15
main,equal_gc_spread,2,0.5;0.5,256,1.0,0.2,official-featurewise,5,1.983641318841601,0.0990292928171977,0.9918206594208006,0.04951464640859885,0.6506154502223255,0.038609479733574585,4.1521871082750295e-05,5.078448756977844e-06,2.0,1.0,0.6559778784857395,3.774758283725532e-15
main,equal_gc_spread,2,0.5;0.5,256,1.0,0.2,samplewise,5,1.983641318841601,0.0990292928171977,0.9918206594208006,0.04951464640859885,0.6506154502223255,0.038609479733574585,0.15551904085446006,0.012542576650677668,2.0,1.0,0.6559778784857395,3.774758283725532e-15
main,equal_gc_spread,2,0.5;0.5,512,1.0,0.02,official-featurewise,5,1.9526947957287217,0.08198932448153849,0.9763473978643609,0.040994662240769246,0.6382306252889984,0.032094091756140385,0.14488524014837872,0.018156346495970456,2.0,1.0,0.6559778784857395,6.8833827526759706e-15
main,equal_gc_spread,2,0.5;0.5,512,1.0,0.02,samplewise,5,1.9526947957287217,0.08198932448153849,0.9763473978643609,0.040994662240769246,0.6382306252889984,0.032094091756140385,0.13774829522252965,0.016780986115330857,2.0,1.0,0.6559778784857395,6.8833827526759706e-15
main,equal_gc_spread,2,0.5;0.5,512,1.0,0.05,official-featurewise,5,1.9526947957287217,0.08198932448153849,0.9763473978643609,0.040994662240769246,0.6382306252889984,0.032094091756140385,0.010201930780914381,0.0012751896399412627,2.0,1.0,0.6559778784857395,6.8833827526759706e-15
main,equal_gc_spread,2,0.5;0.5,512,1.0,0.05,samplewise,5,1.9526947957287217,0.08198932448153849,0.9763473978643609,0.040994662240769246,0.6382306252889984,0.032094091756140385,0.23201558560925975,0.02630714960449732,2.0,1.0,0.6559778784857395,6.8833827526759706e-15
main,equal_gc_spread,2,0.5;0.5,512,1.0,0.2,official-featurewise,5,1.9526947957287217,0.08198932448153849,0.9763473978643609,0.040994662240769246,0.6382306252889984,0.032094091756140385,3.7829575902037505e-06,2.5860967294546933e-07,2.0,1.0,0.6559778784857395,6.8833827526759706e-15
